"","CDS","Name","Subgroup","Year","NumCohort","NumGrad","GradRate"
"663","1612340000000","Newark Unified","SD",6,299,261,0.8729
"664","1612340000000","Newark Unified","SE",6,45,31,0.6889
"665","1612340000000","Newark Unified","Asian",6,66,65,0.9848
"666","1612340000000","Newark Unified","Latino",6,242,204,0.843
"667","1612340000000","Newark Unified","Black",6,39,36,0.9231
"668","1612340000000","Newark Unified","White",6,86,81,0.9419
"669","1612420000000","New Haven Unified","All",6,1028,875,0.8512
"670","1612420000000","New Haven Unified","EL",6,191,129,0.6754
"671","1612420000000","New Haven Unified","FEM",6,538,477,0.8866
"672","1612420000000","New Haven Unified","MAL",6,490,398,0.8122
"673","1612420000000","New Haven Unified","MIG",6,28,26,0.9286
"674","1612420000000","New Haven Unified","SD",6,567,453,0.7989
"675","1612420000000","New Haven Unified","SE",6,98,62,0.6327
"676","1612420000000","New Haven Unified","Asian",6,213,197,0.9249
"677","1612420000000","New Haven Unified","Latino",6,338,266,0.787
"678","1612420000000","New Haven Unified","Black",6,75,63,0.84
"679","1612420000000","New Haven Unified","White",6,75,64,0.8533
"680","1612590000000","Oakland Unified","All",6,2286,1449,0.6339
"681","1612590000000","Oakland Unified","EL",6,703,358,0.5092
"682","1612590000000","Oakland Unified","FEM",6,1113,752,0.6757
"683","1612590000000","Oakland Unified","MAL",6,1173,697,0.5942
"684","1612590000000","Oakland Unified","MIG",6,NA,NA,0.5
"685","1612590000000","Oakland Unified","SD",6,2023,1257,0.6214
